Name;Location;Audience;Audience_Qaulity;Price1;Post_kind1;Price2;Post_kind2;Price3;Post_kind3;Price4;Post_kind4
Юлия;Санкт-Петербург, Россия;6 225;<span>20%</span>;3 552 ₽;Пост + Stories;1 776 ₽;Серия Stories (3-5);2 486 ₽;Пост в ленте;1 065 ₽;Stories
Натали;Москва, Россия;6 002;<span>25%</span>;3 457 ₽;Пост + Stories;1 728 ₽;Серия Stories (3-5);2 419 ₽;Пост в ленте;1 037 ₽;Stories
Кристина;Москва, Россия;15 131;<span>28%</span>;7 029 ₽;Пост + Stories;3 514 ₽;Серия Stories (3-5);4 920 ₽;Пост в ленте;2 108 ₽;Stories
Наталия;Санкт-Петербург, Россия;5 118;<span>47%</span>;3 056 ₽;Пост + Stories;1 528 ₽;Серия Stories (3-5);2 139 ₽;Пост в ленте;916 ₽;Stories
Юлия;Казань, Россия;12 845;<span>44%</span>;6 056 ₽;Пост + Stories;3 028 ₽;Серия Stories (3-5);4 239 ₽;Пост в ленте;1 816 ₽;Stories
Евгения;Москва, Россия;4 976;<span>37%</span>;2 985 ₽;Пост + Stories;1 492 ₽;Серия Stories (3-5);2 089 ₽;Пост в ленте;895 ₽;Stories
Алеся;Москва, Россия;4 947;<span>18%</span>;2 968 ₽;Пост + Stories;1 484 ₽;Серия Stories (3-5);2 077 ₽;Пост в ленте;890 ₽;Stories
Ольга;Санкт-Петербург, Россия;3 538;<span>34%</span>;2 122 ₽;Пост + Stories;1 061 ₽;Серия Stories (3-5);1 485 ₽;Пост в ленте;636 ₽;Stories
Валерия;Москва, Россия;12 032;<span>23%</span>;5 702 ₽;Пост + Stories;2 851 ₽;Серия Stories (3-5);3 991 ₽;Пост в ленте;1 710 ₽;Stories
Марина;Москва, Россия;5 060;<span>19%</span>;3 028 ₽;Пост + Stories;1 514 ₽;Серия Stories (3-5);2 119 ₽;Пост в ленте;908 ₽;Stories
Ирина;Краснодар, Россия;3 469;<span>51%</span>;2 082 ₽;Пост + Stories;1 041 ₽;Серия Stories (3-5);1 457 ₽;Пост в ленте;624 ₽;Stories
Елена;Санкт-Петербург, Россия;5 315;<span>24%</span>;3 148 ₽;Пост + Stories;1 574 ₽;Серия Stories (3-5);2 203 ₽;Пост в ленте;944 ₽;Stories
Олеся;Москва, Россия;33 348;<span>34%</span>;13 671 ₽;Пост + Stories;6 835 ₽;Серия Stories (3-5);9 569 ₽;Пост в ленте;4 101 ₽;Stories
Ирина;Москва, Россия;10 706;<span>24%</span>;5 116 ₽;Пост + Stories;2 558 ₽;Серия Stories (3-5);3 581 ₽;Пост в ленте;1 534 ₽;Stories
Сергей;Москва, Россия;5 526;<span>31%</span>;3 246 ₽;Пост + Stories;1 623 ₽;Серия Stories (3-5);2 272 ₽;Пост в ленте;973 ₽;Stories
Олеся;Москва, Россия;9 464;<span>40%</span>;4 664 ₽;Пост + Stories;2 332 ₽;Серия Stories (3-5);3 264 ₽;Пост в ленте;1 399 ₽;Stories
Коди;Москва, Россия;5 109;<span>28%</span>;3 051 ₽;Пост + Stories;1 525 ₽;Серия Stories (3-5);2 135 ₽;Пост в ленте;915 ₽;Stories
